data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-02-05 01:35:07.076032;49;São Paulo;Ana Oliveira;Smartwatch Garmin;My Wells;feminino;cartão de crédito
2025-02-05 04:09:03.661937;50;São Paulo;Ana Oliveira;Smartwatch Garmin;Marvin Smiley;masculino;boleto
2025-02-05 18:34:05.830794;51;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Robert Gallagher;masculino;cartão de crédito
2025-02-05 18:45:07.442173;52;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Janet Pugh;feminino;pix
2025-02-05 21:09:03.655579;53;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Brenda Harris;feminino;dinheiro
2025-02-05 21:40:07.260426;54;Florianópolis;Lucas Pereira;Smartphone Samsung Galaxy;Roland Mead;masculino;pix
2025-02-06 01:37:05.023603;55;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Corey Jones;masculino;dinheiro
2025-02-06 18:46:07.058225;56;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Daniel Ovington;masculino;boleto
2025-02-06 19:34:05.405270;57;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Joey Saxton;masculino;boleto
2025-02-06 22:46:05.469530;58;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;David Perry;masculino;cartão de crédito
2025-02-06 22:51:07.587216;59;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Keisha Ray;feminino;boleto
2025-02-07 02:11:04.707745;60;Florianópolis;Lucas Pereira;Notebook Dell Inspiron;Kristy Vail;feminino;cartão de crédito
2025-02-07 03:08:04.042793;61;Porto Alegre;Mariana Gomes;Tablet Apple iPad;John Devlin;masculino;cartão de crédito
2025-02-07 17:31:04.043729;62;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;William Stone;masculino;cartão de crédito
2025-02-07 22:00:05.215621;63;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Joseph Sobania;masculino;cartão de crédito
2025-02-07 23:59:06.612294;64;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;David Batey;masculino;boleto
2025-02-08 00:56:07.397129;65;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Joseph Cole;masculino;cartão de crédito
2025-02-08 01:06:05.091331;66;Florianópolis;Lucas Pereira;Smartwatch Garmin;Dianne Berry;feminino;cartão de crédito
2025-02-08 01:26:03.775220;67;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Glen Outlaw;masculino;pix
2025-02-08 03:02:06.656562;68;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;David Gran;masculino;pix
2025-02-08 04:06:07.075812;69;Florianópolis;Lucas Pereira;Smartphone Samsung Galaxy;Richard Henson;masculino;boleto
2025-02-08 17:21:06.480574;70;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Evelyn Jones;feminino;boleto
2025-02-08 18:15:05.990820;71;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Donald Davis;masculino;dinheiro
2025-02-08 18:47:04.796105;72;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Micheal Yee;masculino;pix
2025-02-08 22:57:03.924239;73;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Deborah Jones;feminino;boleto
2025-02-09 00:12:06.885615;74;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Buster Jones;masculino;dinheiro
2025-02-09 00:20:05.240556;75;Florianópolis;Lucas Pereira;Notebook Dell Inspiron;Christopher Boothby;masculino;cartão de crédito
2025-02-09 01:27:03.448251;76;Florianópolis;Lucas Pereira;Notebook Dell Inspiron;Anthony Redding;masculino;dinheiro
2025-02-09 02:09:06.980035;77;Florianópolis;Gabriela Santos;Tablet Apple iPad;Elena Benford;feminino;boleto
2025-02-09 03:44:03.903683;78;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Tom Bowen;masculino;cartão de crédito
2025-02-09 17:27:05.247356;79;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Gabriela Hinderman;feminino;pix
2025-02-09 17:34:04.380540;80;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Daniel Pham;masculino;dinheiro
2025-02-09 19:13:05.430802;81;Belo Horizonte;Fernanda Costa;Tablet Apple iPad;Michael Soto;masculino;dinheiro
2025-02-09 19:14:03.809545;82;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Amber Martin;feminino;cartão de crédito
2025-02-09 20:21:05.941472;83;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Clint Silcox;masculino;dinheiro
2025-02-10 01:26:04.703560;84;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Jason Farmer;masculino;cartão de crédito
2025-02-10 02:06:05.233125;85;Belo Horizonte;Carlos Silva;Tablet Apple iPad;Carissa Johnson;feminino;pix
2025-02-10 03:20:05.897129;86;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Kathleen Croft;feminino;dinheiro
2025-02-10 17:40:04.906040;87;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Eileen Shepherd;feminino;cartão de crédito
2025-02-10 20:42:03.997772;88;Florianópolis;Lucas Pereira;Smartphone Samsung Galaxy;Georgann Owens;feminino;boleto
2025-02-10 22:00:03.959334;89;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Kenneth Amen;masculino;pix
2025-02-11 01:35:03.645593;90;Florianópolis;Lucas Pereira;Fone de Ouvido Sony;Kate Johnson;feminino;pix
2025-02-11 02:08:06.584660;91;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Ellen Wright;feminino;boleto
2025-02-11 03:04:04.723733;92;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Christopher Christoff;masculino;cartão de crédito
2025-02-11 18:59:05.081145;93;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Kathy Lee;feminino;pix
2025-02-11 21:00:04.936924;94;Florianópolis;Lucas Pereira;Notebook Dell Inspiron;Jack Schempp;masculino;cartão de crédito
2025-02-11 22:59:06.751680;95;Florianópolis;Lucas Pereira;Smartwatch Garmin;Mark Motley;masculino;boleto
2025-02-11 23:59:05.898949;96;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Donna Jackson;feminino;cartão de crédito
2025-02-12 00:27:04.310877;97;Florianópolis;Lucas Pereira;Fone de Ouvido Sony;Mary Perez;feminino;dinheiro
2025-02-12 01:00:03.642433;98;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Latoya Martin;feminino;boleto
2025-02-12 03:08:04.694555;99;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Adriana Lundquist;feminino;cartão de crédito
2025-02-12 03:48:04.044846;100;Rio de Janeiro;Pedro Souza;Tablet Apple iPad;Sharon Kirk;feminino;pix
2025-02-12 20:55:05.430949;101;São Paulo;Lucas Pereira;Tablet Apple iPad;Evelyn Gullett;feminino;cartão de crédito
2025-02-12 21:09:06.988810;102;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Rachel Becker;feminino;pix
2025-02-12 22:16:05.195087;103;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Edith Nettles;feminino;boleto
2025-02-13 22:06:06.408417;104;Florianópolis;Lucas Pereira;Smartphone Samsung Galaxy;Donna Pitts;feminino;pix
2025-02-13 22:22:06.076989;105;Florianópolis;Lucas Pereira;Fone de Ouvido Sony;Alfonso Macdowell;masculino;boleto
2025-02-13 23:53:07.594768;106;Florianópolis;Gabriela Santos;Smartwatch Garmin;Sarah Jones;feminino;dinheiro
2025-02-14 00:32:06.312670;107;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Donna Young;feminino;boleto
2025-02-14 01:24:06.117726;108;Porto Alegre;Roberto Ferreira;Tablet Apple iPad;Melissa Powell;feminino;cartão de crédito
2025-02-14 03:40:04.048411;109;Florianópolis;Lucas Pereira;Tablet Apple iPad;Micheal Heinlen;masculino;dinheiro
2025-02-14 23:36:03.910540;110;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Joe Abraham;masculino;pix
2025-02-15 00:00:04.952892;111;Rio de Janeiro;Juliana Almeida;Tablet Apple iPad;David Cody;masculino;cartão de crédito
2025-02-15 17:20:06.348767;112;Belo Horizonte;Fernanda Costa;Tablet Apple iPad;Robert Lenoir;masculino;boleto
2025-02-15 17:54:07.179438;113;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Daniel Denny;masculino;boleto
2025-02-15 18:12:04.608832;114;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Christine Zajac;feminino;pix
2025-02-15 19:36:04.795793;115;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Nicholas Jones;masculino;dinheiro
2025-02-15 21:05:04.367236;116;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;John Lewis;masculino;cartão de crédito
2025-02-15 21:33:06.825766;117;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Alma Smiley;feminino;cartão de crédito
2025-02-15 22:24:04.835612;118;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Ryan Mondragon;masculino;cartão de crédito
2025-02-15 23:26:05.974884;119;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Melissa Mcpherson;feminino;dinheiro
2025-02-15 23:33:03.434199;120;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Thelma Davenport;feminino;cartão de crédito
2025-02-16 00:04:03.655957;121;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Helene Martinez;feminino;cartão de crédito
2025-02-16 00:36:07.057741;122;São Paulo;Ana Oliveira;Tablet Apple iPad;Patsy Arrington;feminino;boleto
2025-02-16 19:19:06.495175;123;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Mildred Brank;feminino;pix
2025-02-16 20:03:04.911503;124;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Tiffiny Peele;feminino;boleto
2025-02-17 03:55:03.776159;125;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Nick Schindler;masculino;cartão de crédito
2025-02-17 18:00:06.166270;126;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Rose Obrien;feminino;dinheiro
2025-02-17 19:57:04.466029;127;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Beatrice Lane;feminino;dinheiro
2025-02-17 20:40:07.012199;128;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Tammy Hashimoto;feminino;cartão de crédito
2025-02-17 22:08:04.017986;129;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Angel Pena;masculino;boleto
2025-02-17 22:15:06.144042;130;Belo Horizonte;Carlos Silva;Tablet Apple iPad;Mark Boeck;masculino;dinheiro
2025-02-17 23:10:04.260545;131;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Dina Wilken;feminino;boleto
2025-02-18 00:20:04.045369;132;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Cody Valdez;masculino;pix
2025-02-18 02:39:07.586785;133;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Geoffrey Jacobs;masculino;dinheiro
2025-02-18 03:38:04.044729;134;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Pamela Greene;feminino;dinheiro
2025-02-18 03:59:03.355587;135;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Jennifer Byrd;feminino;boleto
2025-02-18 18:29:05.573039;136;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Michele Duhon;feminino;dinheiro
2025-02-18 19:59:05.306281;137;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Ann Luna;feminino;dinheiro
2025-02-18 20:22:05.899779;138;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Robert Burns;masculino;pix
2025-02-18 21:56:05.399578;139;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Joseph Edwards;masculino;boleto
2025-02-18 22:27:07.289844;140;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Charles Messinger;masculino;dinheiro
2025-02-18 22:30:05.829496;141;Belo Horizonte;Fernanda Costa;Tablet Apple iPad;Melissa Reich;feminino;dinheiro
2025-02-19 04:12:06.209968;142;Porto Alegre;Mariana Gomes;Tablet Apple iPad;Martha Chen;feminino;dinheiro
2025-02-19 22:21:06.494769;143;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Charles Mcneil;masculino;boleto
2025-02-20 18:10:05.627875;144;Belo Horizonte;Carlos Silva;Tablet Apple iPad;Joyce Barton;feminino;dinheiro
2025-02-20 20:41:07.385307;145;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Michael Nadeau;masculino;boleto
2025-02-20 21:03:05.468926;146;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Janet Swift;feminino;dinheiro
2025-02-20 22:22:05.281874;147;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Pamela Morgan;feminino;dinheiro
2025-02-21 02:39:04.935271;148;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Arthur Taylor;masculino;cartão de crédito
2025-02-21 03:09:04.649296;149;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Jose Backes;masculino;dinheiro
2025-02-21 03:37:03.464109;150;Rio de Janeiro;Pedro Souza;Tablet Apple iPad;Ruby Wilson;feminino;boleto
2025-02-21 17:32:05.437211;151;Porto Alegre;Mariana Gomes;Tablet Apple iPad;Randy Pruitt;masculino;boleto
2025-02-21 18:30:04.160505;152;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Edward Arterburn;masculino;pix
2025-02-21 19:00:04.316742;153;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Frances Jackson;feminino;cartão de crédito
2025-02-21 20:11:05.234713;154;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;David Martin;masculino;boleto
2025-02-22 00:31:06.535098;155;Florianópolis;Lucas Pereira;Notebook Dell Inspiron;Carlos Lighthill;masculino;cartão de crédito
2025-02-22 00:58:03.945226;156;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Curtis Nieves;masculino;dinheiro
2025-02-22 01:10:05.023717;157;São Paulo;Ana Oliveira;Smartwatch Garmin;Kevin Gallagher;masculino;cartão de crédito
2025-02-22 04:06:06.433035;158;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Ashley Smith;feminino;pix
2025-02-22 17:45:05.831355;159;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Lisa Wells;feminino;boleto
2025-02-22 18:21:05.372821;160;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Derek Harris;masculino;boleto
2025-02-23 00:23:04.530928;161;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Rosalinda Pestana;feminino;dinheiro
2025-02-23 02:54:06.095634;162;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Maria Bermudez;feminino;cartão de crédito
2025-02-23 19:14:03.645892;163;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Samuel Cummings;feminino;dinheiro
2025-02-23 19:28:04.506418;164;Rio de Janeiro;Pedro Souza;Tablet Apple iPad;Lori Mcintyre;feminino;pix
2025-02-23 20:37:06.990385;165;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Janice Perez;feminino;cartão de crédito
2025-02-23 21:01:04.571291;166;Florianópolis;Lucas Pereira;Smartphone Samsung Galaxy;Harold Vossler;masculino;cartão de crédito
2025-02-24 00:13:06.983062;167;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Kathleen Nass;feminino;boleto
2025-02-24 01:08:06.583549;168;Florianópolis;Lucas Pereira;Tablet Apple iPad;Robert Ransom;masculino;pix
2025-02-24 02:13:03.991608;169;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Adrian Aguila;masculino;boleto
2025-02-24 02:59:04.556772;170;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Johnnie Watts;feminino;pix
2025-02-24 19:37:07.697826;171;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Sue Traub;feminino;cartão de crédito
2025-02-24 22:46:06.348136;172;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Carmen James;feminino;dinheiro
2025-02-25 00:47:04.707647;173;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Nancy Kelly;feminino;dinheiro
2025-02-25 01:24:04.888543;174;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;John Loftis;masculino;dinheiro
2025-02-25 03:16:06.822789;175;Florianópolis;Gabriela Santos;Tablet Apple iPad;Corrine Berglund;feminino;boleto
2025-02-25 03:37:05.460583;176;Rio de Janeiro;Juliana Almeida;Tablet Apple iPad;Florence Thomas;feminino;boleto
2025-02-25 17:52:05.678485;177;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Kathy Harman;feminino;dinheiro
2025-02-25 21:57:04.994247;178;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Virginia Timbers;feminino;pix
2025-02-26 00:21:05.166170;179;Belo Horizonte;Carlos Silva;Tablet Apple iPad;Daniel Laliberte;masculino;dinheiro
2025-02-26 00:33:06.468320;180;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Cherly Shackford;feminino;boleto
2025-02-26 02:11:07.648303;181;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Diana Hurst;feminino;cartão de crédito
2025-02-26 17:24:03.543050;182;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Nicholas Morton;masculino;boleto
2025-02-26 18:10:07.640758;183;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Mary Johnson;feminino;cartão de crédito
2025-02-26 20:13:04.163888;184;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Alta Fitanides;feminino;cartão de crédito
2025-02-26 22:04:06.121328;185;Florianópolis;Gabriela Santos;Tablet Apple iPad;Robert Fitzgerald;masculino;cartão de crédito
2025-02-27 02:03:04.932152;186;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Cora Shook;feminino;pix
2025-02-27 19:18:07.098830;187;Belo Horizonte;Carlos Silva;Tablet Apple iPad;Corene Albrecht;feminino;dinheiro
2025-02-27 22:11:03.889044;188;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Tim Given;masculino;boleto
2025-02-27 22:58:06.488347;189;Florianópolis;Gabriela Santos;Tablet Apple iPad;Harry Selph;masculino;pix
2025-02-28 00:00:04.175142;190;Florianópolis;Lucas Pereira;Tablet Apple iPad;Philip Mccarthy;masculino;boleto
2025-02-28 00:04:06.352649;191;Belo Horizonte;Fernanda Costa;Tablet Apple iPad;Deborah Avila;feminino;cartão de crédito
2025-02-28 00:09:07.180265;192;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Terrell Sinha;masculino;cartão de crédito
2025-02-28 01:40:05.752398;193;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Anthony Morgan;masculino;cartão de crédito
2025-02-28 02:37:04.954756;194;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Josephine Dashiell;feminino;pix
2025-02-28 03:31:04.876893;195;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Holli Corrieri;feminino;cartão de crédito
2025-02-28 19:32:05.067564;196;Belo Horizonte;Carlos Silva;Tablet Apple iPad;Catherine Hicks;feminino;cartão de crédito
2025-02-28 22:18:06.339716;197;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Jean Bunn;feminino;boleto
2025-03-01 19:02:06.405695;198;Rio de Janeiro;Juliana Almeida;Tablet Apple iPad;Jerry Johnson;masculino;cartão de crédito
2025-03-01 19:46:04.708680;199;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Jose Wadkins;masculino;boleto
2025-03-02 02:49:06.250428;200;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;William Rhodarmer;masculino;boleto
2025-03-02 03:12:05.161172;201;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Michele Lockett;feminino;cartão de crédito
2025-03-02 18:27:03.887718;202;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Burt See;masculino;boleto
2025-03-02 21:26:03.806791;203;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Margaret Jude;feminino;boleto
2025-03-02 23:19:03.342030;204;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Alexandria Brown;feminino;pix
2025-03-03 01:55:05.529605;205;Florianópolis;Gabriela Santos;Tablet Apple iPad;Michael Robinson;masculino;boleto
2025-03-03 01:57:03.460064;206;Florianópolis;Lucas Pereira;Notebook Dell Inspiron;Margaret Quiroz;feminino;boleto
2025-03-03 04:00:06.911555;207;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Joan Phillips;feminino;cartão de crédito
2025-03-03 04:09:04.481584;208;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Ernesto Goodwin;masculino;dinheiro
2025-03-03 19:38:06.096192;209;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Benjamin Luong;masculino;boleto
2025-03-03 20:37:03.987056;210;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;William Villegas;masculino;dinheiro
2025-03-03 22:36:07.466837;211;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Elsa Hendrie;feminino;pix
2025-03-04 03:25:06.749694;212;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Marjorie Sauer;feminino;boleto
